Word,Occurrences,Frequency,Rank
annihilator,28,22,1
machine,6,5,2
the,6,5,3
is,5,4,4
this,4,3,5
like,4,3,6
disease,4,3,7
you're,4,3,8
to,3,2,9
power,3,2,10
dead,3,2,11
a,2,1,12
of,2,2,13
under,2,2,14
closer,2,2,15
below,2,2,16
life,2,2,17
coming,2,2,18
storm,2,2,19
spreading,2,2,20
nowhere,2,2,21
infecting,2,2,22
all,2,2,23
out,2,2,24
red,2,2,25
blood,2,2,26,27
rumble,2,2,28
at,1,0.8,29
no,1,0.8,30
lightening,1,0.8,31
city,1,0.8,32
behind,1,0.8,33
look,1,0.8,34
help,1,0.8,35
paints,1,0.8,36
there's,1,0.8,37
hide,1,0.8,38
cause,1,0.8,39
trapped,1,0.8,40
filled,1,0.8,41
don't,1,0.8,42
night,1,0.8,43
rips,1,0.8,44
now,1,0.8,45
alone,1,0.8,46
one,1,0.8,47
with,1,0.8,48
run,1,0.8,49
sky,1,0.8,50
you,1,0.8,51
fear,1,0.8,52
